TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Champer_Temp,Chamber_Pressure,Main_Gas_Flow ,PF1_Gas_Flow ,PF2_Gas_Flow ,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241203T7:28:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:28:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:28:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:28:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:29:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:29:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:29:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:29:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:29:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0.002
20241203T7:30:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:30:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:30:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
