TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250220T06:36:55.384,0,0,0,1320,0.0,0,0.0,0.0,0.0,0.0
20250220T06:36:56.015,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:36:57.012,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:36:58.022,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:36:59.020,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:00.008,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:01.014,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:02.005,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:03.015,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:04.007,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:37:05.003,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:06.006,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:07.025,0,0,0,1320,0.0,0,0.0,0.0,0.0,0.0
20250220T06:37:08.015,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:09.005,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:10.004,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:37:11.016,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:37:12.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:13.019,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:14.000,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:15.022,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:16.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:17.011,0,0,0,1320,0.0,0,0.0,0.0,0.0,0.0
20250220T06:37:18.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:19.002,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:37:20.023,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:21.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:22.002,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:23.011,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:37:24.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:25.018,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:26.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:27.011,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:28.003,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:29.017,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:30.035,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:31.026,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:32.010,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:37:33.010,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:37:44.227,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:38:59.160,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:39:38.651,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:39:39.019,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:41:08.659,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:41:54.590,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:41:55.012,0,0,0,1320,0.0,0,0.0,0.0,0.0,0.0
20250220T06:41:56.002,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:41:57.018,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:41:58.017,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:41:59.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:00.012,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:01.027,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:02.002,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:03.010,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:04.011,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:42:05.006,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:06.001,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:07.023,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:08.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:09.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:10.018,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:42:11.021,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:12.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:13.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:14.027,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:15.033,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:16.012,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:17.027,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:18.029,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:19.026,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:20.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:21.010,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:22.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:23.020,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:42:24.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:25.009,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:26.005,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:27.022,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:28.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:29.011,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:30.009,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:31.003,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:32.018,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:33.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:34.005,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:35.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:36.021,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:37.009,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:38.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:39.006,0,0,0,1320,0.0,0,0.002,0.0,0.0,0.0
20250220T06:42:40.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:41.009,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:42.003,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:43.008,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:44.016,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:45.008,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:46.009,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:47.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:48.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:49.023,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:50.015,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:51.010,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:52.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:42:53.010,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:44:56.183,0,0,0,1320,0.0,0,0.0,0.0,0.002,0.0
20250220T06:44:57.004,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
20250220T06:44:58.013,0,0,0,1320,0.0,0,0.002,0.0,0.002,0.0
