TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Champer_Temp,Chamber_Pressure,Main_Gas_Flow ,PF1_Gas_Flow ,PF2_Gas_Flow ,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241203T9:40:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.006,547,296.8,0,62.26,62.7,1.5,0.002
20241203T9:41:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,540,299.2,0,62.26,62.7,1.5,0.002
20241203T9:41:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,558,298.3,0,62.26,62.7,1.495,0.002
20241203T9:41:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,535,301.6,0,62.26,62.7,1.502,0.002
20241203T9:41:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,535,301.9,0,62.26,62.7,1.497,0.002
20241203T9:41:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,544,301.1,0,62.26,62.7,1.5,0.002
20241203T9:41:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,542,298,0,62.26,62.7,1.5,0.002
20241203T9:42:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,540,299.8,0,62.26,62.7,1.5,0.002
20241203T9:42:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,534,302.8,0,62.26,62.7,1.5,0.002
20241203T9:42:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,552,300.2,0,62.26,62.7,1.5,0.002
20241203T9:42:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,542,299.2,0,62.26,62.7,1.5,0.002
20241203T9:42:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,528,298.3,0,62.26,62.7,1.5,0.002
20241203T9:42:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,534,299.4,0,62.26,62.7,1.5,0.002
20241203T9:43:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.999,537,300.6,0,62.26,62.7,1.495,0.002
20241203T9:43:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,535,301.8,0,62.26,62.7,1.5,0.002
20241203T9:43:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,535,299.5,0,62.26,62.7,1.502,0.002
20241203T9:43:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,547,296.8,0,62.26,62.7,1.502,0.002
20241203T9:43:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,535,299.2,0,62.26,62.7,1.502,0.002
20241203T9:43:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,532,304,0,62.26,62.7,1.502,0.002
20241203T9:44:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,528,296.6,0,62.26,62.7,1.497,0.002
20241203T9:44:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.999,535,298.7,0,62.26,62.7,1.497,0.002
20241203T9:44:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,546,298.2,0,62.26,62.7,1.502,0.002
20241203T9:44:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,1.001,544,302.2,0,62.26,62.7,1.5,0.002
20241203T9:44:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.999,535,299.2,0,62.26,62.7,1.497,0.002
20241203T9:44:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.996,540,297.5,0,62.26,62.7,1.495,0.002
20241203T9:45:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.996,539,299.5,0,62.26,62.7,1.495,0.002
20241203T9:45:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.996,534,296.2,0,62.26,62.7,1.495,0.002
20241203T9:45:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.996,530,297.5,0,62.26,62.7,1.497,0.002
20241203T9:45:21.000,calc:Coldspray_data_,-759.91,-2189.57,1380.01,47,0.996,527,298.3,0,62.26,62.7,1.497,0.002
