TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250304T01:21:14.197,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:15.018,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:16.009,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:17.018,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:18.010,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:19.007,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:20.006,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:21.028,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:22.014,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:23.019,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:24.009,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:25.001,-75995,-218962,137983,26,0.0,1,0.007,0.0,0.0,0.0
20250304T01:21:26.009,-75995,-218962,137983,26,0.0,1,0.005,0.0,0.0,0.0
20250304T01:21:27.007,-75995,-218962,137983,26,0.0,1,0.002,0.0,0.0,0.0
20250304T01:21:28.007,-75995,-218962,137983,26,0.0,1,0.002,0.0,0.0,0.0
20250304T01:21:29.003,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:30.010,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:31.004,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:32.016,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:33.008,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:34.013,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:35.009,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:36.007,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:37.001,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:38.007,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:39.024,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:40.023,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:41.027,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:42.009,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:43.017,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:44.017,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:45.015,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:46.006,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:47.016,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:48.006,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:49.000,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
20250304T01:21:50.006,-75995,-218962,137983,26,0.0,1,0.0,0.0,0.0,0.0
