TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20250106T4:11:24.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1705,299.9,0,62.26,62.6,5.19,0.002
20250106T4:11:25.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1706,299.4,0,62.26,62.6,5.19,0.002
20250106T4:11:26.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1713,297.1,0,62.26,62.6,5.19,0.002
20250106T4:11:27.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1713,299,0,62.26,62.6,5.19,0.002
20250106T4:11:28.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1720,300.2,0,62.26,62.6,5.19,0.002
20250106T4:11:29.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1727,301.6,0,62.26,62.6,5.19,0.002
20250106T4:11:30.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1730,299.2,0,62.26,62.6,5.19,0.002
20250106T4:11:31.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1730,298.6,0,62.26,62.6,5.187,0.002
20250106T4:11:32.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1722,298.7,0,62.26,62.6,5.19,0.002
20250106T4:11:33.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1722,300.4,0,62.26,62.6,5.19,0.002
20250106T4:11:34.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1727,301.4,0,62.26,62.6,5.19,0.002
20250106T4:11:35.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,301.8,0,62.26,62.6,5.19,0.002
20250106T4:11:36.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1739,300.4,0,62.26,62.6,5.19,0.002
20250106T4:11:37.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1742,300.4,0,62.26,62.6,5.19,0.002
20250106T4:11:38.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1749,300.6,0,62.26,62.6,5.19,0.002
20250106T4:11:39.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1753,301,0,62.26,62.6,5.187,0.002
20250106T4:11:40.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1751,300.6,0,62.26,62.6,5.19,0.002
20250106T4:11:41.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1756,300.6,0,62.26,62.6,5.19,0.002
20250106T4:11:42.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1758,299.8,0,62.26,62.6,5.19,0.002
20250106T4:11:43.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1765,299.9,0,62.26,62.6,5.19,0.002
20250106T4:11:44.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1767,300.7,0,62.26,62.6,5.19,0.002
20250106T4:11:45.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1765,302.4,0,62.26,62.6,5.187,0.002
20250106T4:11:46.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1765,301,0,62.26,62.6,5.187,0.002
20250106T4:11:47.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1768,300.2,0,62.26,62.6,5.187,0.002
20250106T4:11:48.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1770,299.2,0,62.26,62.6,5.187,0.002
20250106T4:11:49.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1767,300.6,0,62.26,62.6,5.19,0.002
20250106T4:11:50.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1768,301.8,0,62.26,62.6,5.187,0.002
20250106T4:11:51.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1767,301.6,0,62.26,62.6,5.19,0.002
20250106T4:11:52.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1758,299.4,0,62.26,62.6,5.19,0.002
20250106T4:11:53.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1756,298,0,62.26,62.6,5.19,0.002
20250106T4:11:54.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1754,299.4,0,62.26,62.6,5.187,0.002
20250106T4:11:55.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1746,300.2,0,62.26,62.6,5.187,0.002
20250106T4:11:56.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1746,301,0,62.26,62.6,5.187,0.002
20250106T4:11:57.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1741,302.6,0,62.26,62.6,5.187,0.002
20250106T4:11:58.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1737,301,0,62.26,62.6,5.187,0.002
20250106T4:11:59.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1739,299,0,62.26,62.6,5.187,0.002
20250106T4:12:00.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1739,300.4,0,62.26,62.6,5.187,0.002
20250106T4:12:01.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1730,301.1,0,62.26,62.6,5.185,0.002
20250106T4:12:02.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1729,301.4,0,62.26,62.6,5.187,0.002
20250106T4:12:03.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,300.2,0,62.26,62.6,5.187,0.002
20250106T4:12:04.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1734,298.7,0,62.26,62.6,5.185,0.002
20250106T4:12:05.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,298.6,0,62.26,62.6,5.187,0.002
20250106T4:12:06.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1732,298,0,62.26,62.6,5.187,0.002
20250106T4:12:07.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1729,300.4,0,62.26,62.6,5.185,0.002
20250106T4:12:08.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1730,300.6,0,62.26,62.6,5.187,0.002
20250106T4:12:09.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1729,300.4,0,62.26,62.6,5.185,0.002
20250106T4:12:10.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1725,298.7,0,62.26,62.6,5.185,0.002
20250106T4:12:11.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1722,299.5,0,62.26,62.6,5.185,0.002
20250106T4:12:12.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1722,297.8,0,62.26,62.6,5.185,0.002
20250106T4:12:13.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1722,299.2,0,62.26,62.6,5.185,0.002
20250106T4:12:14.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1730,299.2,0,62.26,62.6,5.187,0.002
20250106T4:12:15.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1742,301,0,62.26,62.6,5.187,0.002
20250106T4:12:16.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1739,298.6,0,62.26,62.6,5.185,0.002
20250106T4:12:17.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1739,298.3,0,62.26,62.6,5.187,0.002
20250106T4:12:18.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1736,301.6,0,62.26,62.6,5.187,0.002
20250106T4:12:19.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1739,303.2,0,62.26,62.6,5.187,0.002
20250106T4:12:20.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1746,301.4,0,62.26,62.6,5.185,0.002
20250106T4:12:21.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1749,300.7,0,62.26,62.6,5.187,0.002
20250106T4:12:22.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1749,297.5,0,62.26,62.6,5.185,0.002
20250106T4:12:23.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.99,1758,299.2,0,62.26,62.6,5.185,0.002
20250106T4:12:24.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1760,301.6,0,62.26,62.6,5.185,0.002
20250106T4:12:25.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1758,301,0,62.26,62.6,5.185,0.002
20250106T4:12:26.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.993,1761,298,0,62.26,62.6,5.185,0.002
20250106T4:12:27.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1763,298.3,0,62.26,62.6,5.185,0.002
20250106T4:12:28.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1760,299.4,0,62.26,62.6,5.187,0.002
20250106T4:12:29.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1760,301,0,62.26,62.6,5.187,0.002
20250106T4:12:30.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1760,300.6,0,62.26,62.6,5.187,0.002
20250106T4:12:31.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1751,299.9,0,62.26,62.6,5.187,0.002
20250106T4:12:32.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.998,1746,295.9,0,62.26,62.6,5.187,0.002
20250106T4:12:33.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1739,297,0,62.26,62.6,5.187,0.002
20250106T4:12:34.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1742,297.4,0,62.26,62.6,5.187,0.002
20250106T4:12:35.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1746,298.7,0,62.26,62.6,5.187,0.002
20250106T4:12:36.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1742,299,0,62.26,62.6,5.187,0.002
20250106T4:12:37.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1739,299,0,62.26,62.6,5.187,0.002
20250106T4:12:38.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1739,297.4,0,62.26,62.6,5.187,0.002
20250106T4:12:39.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1739,297.5,0,62.26,62.6,5.187,0.002
20250106T4:12:40.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,298.7,0,62.26,62.6,5.187,0.002
20250106T4:12:41.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,300.6,0,62.26,62.6,5.187,0.002
20250106T4:12:42.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1736,300.2,0,62.26,62.6,5.187,0.002
20250106T4:12:43.000,calc:Coldspray_data_,-759.84,-2213.28,1286.59,1000,4.995,1734,299.4,0,62.26,62.6,5.19,0.002
