TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241204T3:00:53.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:54.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:55.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:56.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:57.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:58.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:00:59.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:00.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:01.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:02.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:03.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:04.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:05.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:06.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:07.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:08.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:09.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:10.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:11.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:12.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:13.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:14.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:15.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:16.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:17.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:18.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:19.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:20.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:21.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:22.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:23.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
